name,line
Stanley,Got an hour? I'll try to explain.
Andy,And I'm a director.
Michael,THIS IS EGREGIOUS! This is egregious!
Dwight,Oh.
Stanley,Trust me. It only gets worse.
Andy,Which on a film set is the highest title there is. Do you know anything about film?
Martin,Is he always like this?
Dwight,I know everything about film. I've seen over 240 of them.
Ryan,Sometimes he brings more costumes.
Andy,Congratulations.
Hannah,When do people work?
Jim,"Hey, Toby!"
Phyllis,"Oh, we find little times during the day."
Toby,"Hey, Jim!"
Karen,How are we going to get home?
Jim,"How are you, man?"
Phyllis,Bob Vance has an air pump. He said he'd fill all our tires up.
Toby,"Oh, really good."
Karen,Bob Vance of Vance Refrigeration.
Jim,I just wanted to say hi.
Michael,"See that? Mission accomplished. Like a bunch of fourth graders. Sometimes, what brings the kids together is hating the lunch lady. Although that'll change. Because, by the end of the fourth grade, the lunch lady was actually the person I hung out with the most. Jell-o!"
Toby,How are you? Hey. Welcome back.
Jan,Michael!
Jim,Oh. Is that like your new thing?
Michael,"Hi, Jan!"
Toby,"No, I'm sorry, it's..."
Jan,Did you fire Tony Gardner when he was trying to quit?
Jim,No. It's cool.
Michael,I did. Major personnel crises averted. Compliment accepted.
Toby,"No, it's nothing. We'll just..."
Jan,"Do you realize, Michael, that we now have to pay him severance?"
Jim,All right. Good to be back.
Michael,Yes.
Toby,So... okay.
Jan,You do?
Jim,All right.
Michael,But do you realize that that was actually Dwight's idea? Bad advice from my Number Two.
Toby,All right... sorry... sorry about that.
Jan,"What? No. No. No, Jim is your Number Two."
Jim,No problem.
Michael,What?
Toby,It was just...
Jan,He's the only one who has worked with both groups. I sent you a memo about this.
Jim,...what?
Michael,"Yes, I know that. For, I do read the memos."
Toby,Nothing.
Michael,"So after a great deal of thought and introspective-shun, I have decided to make Jim my new Number Two."
Kevin,This thing is so awesome. It will shred anything. Ooh! It will shred a CD. It will shred... a credit card. It will shred... oh! Shoot.
Dwight,If he even wants it. It doesn't come with a pay raise.
Michael,I present the orientation video.
Jim,"Yeah, it does, actually."
Dwight,We need to talk!
Dwight,So who will be your new Number Three?
Michael,Not now.
Michael,Uh... that I have not decided yet.
Dwight,Which is higher? Assistant Regional Manager or Regional Director in Charge of Sales?
Andy,"Michael, I would just like to say you have handled this entire situation with great aplomb."
Michael,I told you the titles are irrelevant. They just relate to pay scale.
Michael,"Thank you, Andy. That's... very kind. Thanks."
Dwight,Okay. So who gets paid more? Me or Andy?
Dwight,And I have to say your leadership...
Michael,"It is not a matter of more or less. Your pay is just different. Okay? All right! Show time, part one."
Michael,Shut it...
Dwight,Ok. Who reports to who?
Dwight,has brought...
Michael,"I don't care! Dwight! You all report to me! That's all that matters! The rest of it just work out amongst yourselves, ok?"
Michael,Shut it! That's... suck up!
Dwight,And then if I want...
Jim,"Hey! Where you at, Filippelli?"
Michael,Work it out amongst your selves!
Karen,I'm at the grocery store buying a corkscrew to give myself a lobotomy.
Dwight,I...
Jim,What's wrong? You didn't have a good first day?
Michael,"Please! I have a company to run. Well, you let me run the company?"
Karen,Oh my god! Hey! You want to meet at Cooper's in an hour? I need a drink.
Dwight,I...
Jim,Yeah. Sure. Sounds good. I... . Hey! You know what? Can I give you a call right back?
Michael,Will you?
Karen,Yeah.
Dwight,One...
Jim,"Ok, thanks."
Michael,Please?
Karen,Ok.
Kelly,Jim!
Jim,Hey.
Jim,Kelly!
Pam,Hey!
Kelly,Oh! Oh my god! I have so much to tell you!
Jim,I thought you had already... left.
Jim,Really?
Pam,Uh... no. I just uh had some other stuff I had to do.
Kelly,"Yes! Tom Cruise and Katie Holmes? They had a baby and they named it Suri. And then Brad Pitt and Angelina Jolie? They had a baby, too, and they named it Shiloh. And both babies are amazing!"
Jim,Oh... Good.
Jim,Great. What's new with you?
Pam,What's up?
Kelly,I just told you.
Jim,"Oh, nothing. I just feel bad. I feel like things were a little weird today... or something."
Michael,"Okay. Everybody settled in? Good. Why don't we all proceed in to the conference room? Or, should I say, the banquet hall. For... drum roll, please, the official Merger Day All-Family Welcome Breakfast. Come on in!"
Pam,What do you mean?
Michael,Yoko shack.
Jim,I just think I should tell you that... I've sort of started seeing someone. And uh...
Male voice,...thank you James.
Pam,Oh. That's totally cool. You can do whatever you want.
Meredith,"Hey, champagne."
Jim,O..ok. Um..good.
Michael,"Nope, no. Guests only."
Pam,We're friends. We'll always be friends.
Kelly,Looks like salmon.
Jim,Right.
Michael,"Nope. Um... for the guests it is. For you, consider it cow-meat. Strictly taboo."
Pam,It's good to have you back.
Kelly,I eat beef.
Jim,Yeah. Good to be back.
Michael,"Well, then... consider it poisoned beef. No touchy."
Meredith,Where'd you get that salad?
Kevin,The beef is poisoned?
Kevin,Staples.
Michael,"No, it's not beef... just... sit down, please. Welcome. Help yourself."
Andy,"Saw your dorkmobile in the parking lot. What does it get, like four miles to the gallon?"
Toby,Um... You might want these orientation materials.
Dwight,"Uh, try double that. Classic TransAm, vintage American muscle. Please."
Michael,"Wrong. Toby, this is an orientation not a borientation. Okay. Do not worry. All of your questions are about to be answered. Cell phones and pagers off, please."
Andy,"Yeah, my Xterra's pretty sweet. Luxurious, yet rugged. Leave it to the Japanese."
Jim,"Oh, this looks promising."
Dwight,Xterra's not even a real word.
Pam,You won't be disappointed.
Andy,"Actually, it is. It's Latin for ""earth."""
Michael,"Let's face it. Moving to a new job can be very stressful. So I have made an orientation video especially for you newcomers. But it's not like any orientation video that any of you have ever seen. It's funny. It's got a little bit of a zing to it and I hope that it gives you a flavor of what we're all about here at Dunder Mifflin. And what we're all about here in Scranton. So let's just all laugh together and watch ""Lazy Scranton""."
Dwight,"Oh, so you drive an X-Earth?"
Video,
Andy,Yeah.
Michael,"Sittin' in my office with a plate of grilled bacon, call my man Dwight just to see what was shakin'."
Dwight,That makes sense. I'd rather drive a classic TransAm than an XEarth.
Dwight,"Yo Mike, our town is dope and pretty."
Andy,"Yeah, I bet you would. Oh, by the way, 1985 called. It wants its car back."
Michael,So check out how we live
Dwight,Well I hope 1985 has a time machine 'cause I drive an 87.
Michael & Dwight,in the Electric City!
Andy,"Oh, speaking of time machines, I just got back from the future and I went to your funeral and, guess what, nobody came."
Michael,They call it Scranton.
Dwight,"Speaking of funerals, why don't you go ahead and go die."
Dwight,What?
Andy,"Oh, that was a really well constructed sentence. You should be an English professor at Cor-not University."
Michael,The Electric City. Scranton.
Dwight,Idiot!
Dwight,What?
Andy,"If I were an idiot, I'd be driving a TransAm."
Michael,The Electric City. Call poison control if you're bit by a spider.
Dwight,"If you were driving a TransAm, you would be the smartest idiot in the whole world."
Dwight,But check that it's covered by your health care provider!
Andy,Idiot!
Jim,It reminds me of the orientation video showed on my first day. 'The Scranton Witch Project'.
Dwight,You're the idiot!
Michael,I am so scared... when people don't label their personal food.
Andy,Nice comeback!
Video,
Dwight,I was making fun of your comeback! That's why it worked. Totally got the best of that interchange.
Michael,"You like coal mines and you wanna see 'em, Well, check it out, yo, the Anthracite Museum! Plenty of space in the parking lot,"
Dwight,But the little cars go in the compact spot
Michael and Dwight,"Spot, spot, spot, spot ..."
Michael,Spot. Scranton. What? The Electric City. Scranton.What? The Electric City. Scranton. What?
Michael,"Well, so far, I think it is killin'. I thought it would either be an 'A' or an 'A+' but I completely forgot that there's an 'A++'."
Karen,This is Karen Filippelli. Please leave a message.
Jim,Terrible. Totally unconvincing.
Karen,This is Karen Filippelli. Please leave a message.
Jim,"Not bad, but you are Italian so... try it more Italian."
Karen,Dis is Kar-en Fill-uh-pel-li. Please leava me da message. A bon danza.
Jim,You feel good?
Karen,Mm-hm.
Jim,All right.
Karen,Karen Filippelli.
Pam,Ohhhh! She's absolutely adorable!
Hannah,He.
Pam,"...Oh, sorry. He's--he's dressed all in pink."
Hannah,That's his favorite color.
Pam,...Oh. That's... fun for him.
Stanley,Fantastic.
Michael,"Ohhh, wow. Look at that. How cute."
Hannah,Thank youuu.
Michael,Ohh. May I?
Hannah,"Uh, sure!"
Michael,"Hey, look at me, I'm a baby! I'm one of those babies from ""Look Who's Talking."" What am I thinking? Look at all those staplers! What's a stapler!? I don't even know, I'm a baby! Hey, Mom, I'm thirsty! I'm thirsty, Mama! I want some milk. And you know where milk comes from! Breasts."
Karen,Hey.
Jim,Hey.
Karen,...Almost done?
Jim,Just about... yup. Now.
Jim,"Yes. I have started to see Karen. It's very new, and... not really ready to talk about it openly yet, just because, I think, once the word gets out there, it might affect the way people behave around us or... I dunno. Just, not yet."
Michael,"Yeah, Jan, it um... looks like a check, piece of paper of some sort. Receipt. I don't know."
Angela,"Jan, this is Angela Martin from accounting."
Jan,Mmhmm.
Angela,"Look, we have a rebate from... the Federal Work Opportunity Program and no one knows what that means."
Jan,We get that money for hiring an ex-convict.
Michael,I didn't hire an ex-convict. Unless they mean Toby. Convicted rapist. ... I'm just kidding.
Jan,When did the check come?
Angela,Last week.
Jan,"Okay, that's when the branches merged, so Josh must have been taking advantage of this program. Smart move."
Angela,One of the Stamford people is a criminal?
Michael,"Hey Jan, speaking of Stamford, Hannah brought in her baby."
Angela,"Jan, which one of the new employees is a criminal?"
Jan,"Uh, reformed convict, and, uh, I'm not sure. Though hang on, let me email our HR, stay on the line."
Pam,Who is it?
Michael,Hannah?
Kevin,Hmm.
Angela,Hmm.
Kevin,Andy.
Angela,Andy?
Kevin,Hmm. Martin?
Michael,Kuhhhh... you are such a racist.
Kevin,"Wait, why am I a racist?"
Michael,Because you think he's black.
Kevin,He is black... right? And...
Michael,Stop it. Stop it right-stop it right now.
Jan,...Okay it's someone named Martin Nash.
Kevin,Yeah!
Jan,Michael?
Michael,Why did the convict have to be a black guy? It is such a stereotype. I just wish that Josh had made a more progressive choice. Like a white guy... who went to prison for... polluting a black guy's lake.
Kevin,I wonder what he did.
Michael,"In our society, a black man can be arrested for almost anything. He was probably at a sporting event and... saw some people pushing each other, and he intervened."
Pam,Why would anyone go to jail for that?
Michael,"Sssssso, what we need to do... is to forget about this whole Martin in prison thing. People will draw unfair conclusions about Martin and or black people."
Kevin,Cool.
Pam,Okay. Angela?
Angela,"Sure. Let's protect the convicts. At the expense of the general feeling of safety in the workplace. As a 90-pound female that sits in an ill-lit, rarely-visited corner of the office, naturally I agree with that."
Michael,Good. All right.
Jim,Jim Halpert.
Andy,I am so horny.
Jim,...Okay I can't... help you... with that.
Andy,"Oh, I think you can, Big Tuna. Tell me about that Indian chick, Kelly. She seems pretty slutty. Good for a romp in the sack."
Jim,"She is dating Ryan, I think."
Andy,"Oh, and I care why?"
Jim,She's... high-maintenance.
Andy,"Next. How about.... Blondes are more fun. C'mon, trust me on that."
Jim,"Yeah, trust me, that would be fun for no one."
Andy,"Okay fine. Um. Pam, the receptionist. Paaam. Should I go for it?"
Jim,...Absolutely you should.
Andy,Jackpot.
Michael,Just... try to be cool.
Dwight,I am cool.
Michael,"Okay, are you cool, really?"
Dwight,"I'm cool, I'm cool, I'm so cool. Tell me what is going on."
Michael,"Um... Martin, from Stamford, was, at one time, in prison. No. Dwight! Be cool! Be cool!"
Dwight,"I am greatly concerned about having a convict in the office. And I do not care if that convict is white, black, Asian, German, or some kind of halfsy. I do not like criminals."
Andy,"All... righty, let's get started. What is she into?"
Jim,"I know Pam pretty well. I know the things that she likes, and, just as important, I know the things that she hates. So, one of the things that she likes is pranks. And, the things that she hates..."
Jim,Frisbee-based competitions...
Andy,Are you kidding?
Jim,She...
Andy,I started the main Frisbee golf club at Cornell. Where I went to college. I live to frolf.
Jim,"Lead off with that. She loves hunting. She also loves those ads for Six Flags, with the old guy. Got it. Also... do you speak pig latin?"
Michael,"Hey Martin, how's it going?"
Martin,"Good. Getting settled, you know?"
Michael,"Ah. Good good. Good. Just a second. Everybody? May I have your attention please? I realize that a lot of you have already heard that Martin here has had some trouble with the law, but I just want to declare publicly that I... trust... him, completely, and that anybody who doesn't is an ignorant, dumb... person. Okay? As a matter of fact, you show me a white man you trust and I will show you a black man that I trust even more. Pam. Tell me a white person you trust."
Pam,My dad.
Michael,...Danny Glover. Yeah.
Jim,Jonas Salk.
Michael,Who?
Jim,Justin Timberlake?
Michael,Oh. Please. Colin Powell.
Karen,Hey I got one.
Michael,Yup.
Karen,Jesus.
Michael,Apollo Creed.
Michael,"Close your eyes. Picture a convict. What's he wearing? Nothing special, baseball cap on backwards, baggy pants... he says something ordinary like... 'yo, thats shizzle.' Okay. Now slowly open your eyes again. Who are you picturing? A black man? Wrong. That was a white woman. Surprised? Well, shame on you."
Martin,So... you all wanna know what I was in for?
Michael,No. That's not cool. You don't have to tell them.
Martin,"Um, I really don't mind. It was a stupid mistake. I was working in finance and, I... got involved in some insider trading. So, I spent a little time in the clink."
Michael,That is awesome.
Kevin,"I had Martin explain to me three times what he got arrested for, because... it sounds an awful lot like what I do here every day."
Pam,What was prison like?
Martin,Not terrible. Boring. We do the same thing every day. But... at least we got outdoors time.
Kevin,You got outdoors time?
Martin,"Two hours, every day. Sometimes we'd play pickup football games..."
Kevin,"Michael, why don't we get outdoors time?"
Pam,"Yeah, some days I never go outside."
Michael,"Well, we are running a business, so."
Meredith,What was your cell like?
Martin,"Not good. Uh... a little bit bigger than Michael's office... but, you know, I really only slept there. You know, during the day, there-our time's our own. They had uh, classes, I took some... watercolor classes."
Pam,They have art classes?
Martin,Yeap. Yeah.
Ryan,They have business classes there?
Martin,"They did, taught by some uh, Harvard business school guys--a lot of the guys also, that were in the class, the inmates, a lot of them have gone on to do extraordinary things in business."
Pam,Kinda sounds like... prison's... better than Dunder-Mifflin.
Michael,Ah. Well. That's not true.
Kevin,I would so rather be in prison.
Ryan,Prison sounds great.
Michael,No you would not.
Michael,This place is not prison. It's... way better than prison.
Creed,Baby. Hello baby. Here you want to play with this?
Karen,You can't give paperclips to a baby. He could swallow.
Creed,"Oh, it's okay. I've got tons of them. You like that? Goo-goo-goo-goo?"
Andy,"Pam-a-lama-ding-dong. Listen, you're cute. There is no gettin' around it. So... I don't know if you like country music, but I was thinking maybe one of these days we could drive out to a field, crank up some tunes, smoke a few Macanudos... maybe even toss a disk around. Utway ooday ooyay inkthay, Ampay?"
Pam,Wow... I--
Andy,Shh. Think about it. I'll hit you back.
Pam,Wow. That was... wow.
Michael,"Okay! Listen up everybody! Um, you guys said that prison was better than this place, and I heard ya, loud and clear, so, I am instituting some changes to make this more like prison. We are going to start with an hour of outdoor time. So let's go!"
Pam,"Michael, it's freezing out."
Phyllis,I can't feel my toes.
Michael,Why don't we... pump some iron? Anyone wanna... pump up?
Jim,"What is that, like... five pounds?"
Michael,"It's uh... two and a half. I'm not going for bulk, I'm going for tone."
Stanley,I'm going back inside.
Michael,"Yeah, it's... freaking cold out here. Anybody wants to stay out, you've got about... twenty-seven minutes of rec time."
Michael,Oh heyyy. Martiiin. You have TV in the joint?
Martin,"Yeah, in the rec room."
Michael,Ah. A ten inch black and white?
Martin,"Actually, our TV was bigger than that one."
Michael,These people don't realize how lucky they are. This office is the American Dream. And they would rather be in the hole.
Jim,Oh. Andy. I thought of one last tact you can take with Pam.
Andy,Yeah.
Jim,Quick question - do you play the guitar?
Andy,I play the banjo.
Jim,"Hold on, let me think about that, yes, that'll work. But can you sing in a sexy high falsetto voice?"
Andy,"You know I can, my man."
Jim,Yup. That's perfect.
Karen,Hey.
Jim,Hey.
Andy,I'm gonna go get my banjo out of my car.
Jim,Perfect.
Karen,What is going on?
Jim,...I'm messing with Andy. I'm sending him to all the women in the office with... just... terrible information on how to get them to go out with him.
Karen,I love it. I want in. Who's the target?
Jim,"...Oh, you know what? ... It was... gonna be Pam, but..."
Karen,Perfect. What do I do? Just give me an assignment.
Jim,"Uh, you know what though? I feel like I already sicked him on Pam... we'll give her a break. Let's think of someone else."
Michael,"All right everybody, there has been a lot of name calling against our office today. Corporate maligning, slurring, much of it coming from one of you, who claims that prison is better... than... here. And none of can say ""Boo"" because none of us have ever been to prison. Well, there's somebody I'd like you to meet. Somebody else who has been to prison, who can tell you what it is really like. I'm prison Mike! You know why they call me prison Mike?!"
Angela,Do you really expect us to believe you're somebody else?
Michael,"Do you really expect me to not push you up against the wall, beeyotch?! All right, hey, hey, hey, hey, that's just the way we talk in the clink. Been a lot of fun talk about prison today, but I am here to scare you straight. I AM HERE TO SCARE YOU STRAIIIGHT!! In prison you are somebody's bitch. Oh, and you. You, my friend, would be da belle of da ball. Don't drop the soap! Don't drop the soap!"
Ryan,"Michael, please."
Jim,Where... did you learn all of this?
Michael,Internet.
Jim,"So, not prison."
Michael,"And prison. Eh, fifty-fifty, both. Look, prison stinks, is what I'm saying. It's not like you can go home, and, recharge your batteries, and come back in the morning and, be with your friends, having fun in the office."
Jim,"What'd you do, Prison Mike?"
Michael,I stole. ... And I robbed. And I kidnapped... the... president's son. And held him for ransom.
Jim,"That is... quite the rap sheet, Prison Mike."
Michael,"And I nevah got caught, neither."
Jim,"Well, you're... in... prison, but, mmhmm."
Pam,Prison Mike? What was the food like in prison?
Michael,"Gruel. Sandwiches. Gruel omelettes. Nothing but gruel. Plus, you can eat your own hair."
Andy,Wow. Prison sounds horrible.
Michael,"Yeah. Yeah. Well, thank you, Andy. Tanks."
Dwight,Prison Mike. What's the very very worst thing about prison?
Angela,"Don't encourage him, Dwight."
Michael,"The worst thing about prison was the... was the Dementors. They... were flying all over the place, and they were scary. And they'd come down, and they'd suck the soul out of your body, and it hurt!"
Karen,Demen-Dementors like in Harry Potter?
Michael,"No, not Harry Potter. ... There are no movies in prison. This is my point! You guys got it soft, and cushy! This place is freaking awesome! The people are awesome! Your boss is nice! Everyone seems to get along! People are tolerant! People who... have jumped to conclusions can redeem themselves! Nobody is nobody's bitch. I hope that this scared you. And from me, Prison Mike, to you, I just wanna thank you for listening to me. Letting me be a part of your life today. 'Cause you got a good life! YOu got a good life. A good life. So. What do you think? It doesn't sound so great, does it?"
Pam,"Wow. Thank you. Um, that must have been hard for you to relive that. Both of you."
Martin,"Yeah, that... wasn't really... at all my experience. There were certain elements of what you performed, I've seen on television. But it didn't remind me of my time in prison."
Michael,"Okay. Okay, fine. You guys think prison is so great? All right. Well, here you go."
Jim,"Okay, Michael. Come on. Let us out."
Michael,"No! If you think is prison is so wonderful, then, enjoy prison! They are such babies. I am going to leave them in there until they can appreciate what it's like to have freedom. And if this doesn't bother them, then I am out of ideas."
Kevin,Hey! Let us out of here! Hey! I have--
Hannah,Shh!
Toby,This is Toby. Hey Pam. Where are you calling from?
Toby,Michael. Why's everyone locked in the conference room?
Michael,"They were very disrespectful to me, and to the office. And Martin has had a bad influence, to think that I gave him the benefit of the doubt."
Toby,"Well, you're going to have to let 'em out. Or... or I will."
Michael,"Okay. You know what Toby? I am teaching them a lesson, so."
Toby,"You know they're teasing you. I mean... obviously, this is... a much nicer place than an actual prison. We get paid to be here. We go home afterwards and have social lives. We have... we have parties here. They're teasing you. To be funny."
Michael,"Okay nutcases, get out of there! Good work. Long day. Really long. Why don't you guys head home. Early. Time off for good behavior! Heh. Good job. Enjoy your freedoms!"
Michael,"Martin went from being a new guy from Stamford... to a convict, to... my friend. Back to a convict. Then to... a kind of a nuisance, actually, to be completely honest. And finally, to... a quitter. And I will not miss him. And that is not because he is black."
Andy,"So we've been told, and some choose to believe it, I know they're wrong, wait and see, 'cause one day we'll find it, the ainbowray onnectionkay, the lovers, the dreamers, and meeee..."
Dwight,Merry Christmas!
Pam,Merry Christ-- NO! Why... why did you bring that here?
Dwight,It is my job to be there for Michael. How can I be there for Michael if I'm here for Michael?
Dwight,"Don't worry, she's dead. Oh wait. He's dead."
Michael,"I'm already starting to forget what color eyes she had. I can't, OK, I'm gonna call her. I am gonna call and find out..."
Pam,"Dwight, what uh..."
Andy,No.
Dwight,I accidentally ran over it. It's a Christmas miracle!
Dwight,Who are you calling?
Pam,"Well, get it out of here."
Michael,I'm just gonna call her.
Dwight,"Relax, OK. And because this is Christmas, I am going to roast this goose and prepare it with a wild rice dressing. Do we have any cayenne pepper in the kitchen?"
Andy,"Put that away. Put that away. S.O.S. We... I... May day. Haha. Man down over here, we need your help."
Jim,Merry Christmas Dwight.
Waitress,What can I get for 'ya?
Dwight,Jim.
Andy,I think we'll start with a round of noga-sakes.
Jim,Wow. What have we got here?
Andy,"One part eggnog, three parts sake. Some places won't make it for you though, because eggnog is seasonal."
Dwight,What does it look like?
Phyllis,"You should, you should put out salt for the rims"
Jim,Dead goose.
Pam,That's a great idea.
Dwight,And circle gets the square.
Angela,Phyllis?
Jim,All right.
Phyllis,I was just getting a snack.
Dwight,So can you watch this? I'm gonna get my carving knife out of the trunk.
Pam,You can have your snack in here.
Toby,"Oh, Dwight, we talked about this."
Angela,"Pam, don't tell her what to do! Phyllis."
Dwight,"No, Toby, this is different. He's already dead."
Phyllis,OK.
Dwight,"Once I brought in a duck. To prepare for lunch. And people got upset. Apparently, they got attached to the duck and didn't want to see it killed."
Kevin,"I think I'll go to Angela's party, because that's the party I know."
Dwight,"He was already dead. And we Schrutes use every part of the goose. The meat has a delicious, smoky, rich flavor. Plus you can use the molten goose grease and save it in the refrigerator, thus saving you a trip to the store for a can of expensive goose grease."
Ryan,I miss the days when there was only one party I didn't want to go to.
Jim,Wow. Win-Win.
Roy,So I only use three?
Dwight,"Exactly. Thank you, Jim."
Pam,"If you're using more than three pieces of tape to wrap a present, you're doing it wrong."
Phyllis,I like goose. If it's already dead is it so crazy we eat it?
Roy,OK. And where to do you get all those cool bows?
Creed,That's crazy. It's crazy.
Pam,"Oh, I just get those at any party supply place."
Toby,"Dwight, you cannot keep that here."
Roy,"OK. Are you sure I can't use like, the cartoons from the newspaper?"
Dwight,"Ok, that is ridiculous. And totally against the spirit of Christmas."
Pam,"Oh yeah, your mom would love that."
Toby,"Come on Dwight. We went over this, like for a half an hour."
Roy,"Hey. All right, I'll see you guys later."
Dwight,It's Christmas Toby.
Pam,Bye.
Toby,It's a dead animal in an office. You can't...
Karen,He's cute. You should date him.
Dwight,Toby...
Pam,"Oh, yeah... Maybe."
Toby,I'm sorry.
Dwight,Looks like you've got a little Nakiri knife action going there.
Dwight,Please? Please?
Chef,"No, it's Usuba."
Toby,Clean it in your car.
Dwight,"Yeah, I bet you wish you had a Nakiri, though."
Pam,I would like it off my desk.
Chef,"Actually, the Usuba's the better knife when you're working with this quantity."
Dwight,Oh Pam. Take a chill pill.
Dwight,"Nah, I don't know... Still think Nakiri's better."
Michael,"Deck the halls with boughs of holly. Fa la la la la la la la la. 'Tis the ... ack. Hey! I would like a nice slice of Christmas Pam. Side of candied Pams. And perhaps, some Pam-chops, with mint..."
Woman at bar,I think he'd know.
Pam,"Can I help you, Michael?"
Michael,Nothing he's doing is cheering me up.
Michael,I'm looking for the toy drive box.
Andy,"Wait for the onion. Trust me. Hey Cindy, he just had his heart broken, you wouldn't do that to him, would you?"
Pam,It's behind you.
Cindy,I don't know.
Michael,"OK... Well, I need to put this bike in there. I hope it'll fit, with all these little knickknacks."
Michael,"Oh, sure you would. Look at you, I bet you break up with a guy every hour."
Jim,Wow. What kind of bike is that?
Andy,"You made her laugh. Yes! She totally digs us. Watch, watch, watch, watch. Heh, heh? What did I tell 'ya?"
Michael,Umm... I don't know? Average kind?
Michael,You're right. That's good.
Kevin,The tires look pretty worn.
Pam,Hello everyone. We would just like to announce that our party is starting now in the break room. So... you can come by... .
Michael,"Well, that is probably from the test drive."
Angela,I have a very important announcement to make... about... your paychecks. Umm... Your paychecks will be arriving as scheduled on Friday. And they will be in the correct amount that they are normally in... Please stand by for a very important announcement... refer.. for further regarding your paycheck!
Jim,"But the paint's chipping. Is that your old bike, Michael?"
Angela,I need to know if I can start the party?
Michael,No.
Dwight,"Michael! Hey! Over here, Michael!"
Andy,"Yo, Michael, sweet ride Mike."
Andy,This drink...
Michael,"Oh, thanks."
Michael,I don't know. No one can hear me. You know what? Start the party.
Pam,Michael?
Angela,Did Michael give you permission to do this?
Michael,"Yes? Oh Pam, that is so sweet. You didn't have to do that."
Dwight,Start the party.
Pam,"I didn't, it's from corporate."
Angela,"Also, I would like to inform you that, um, as a special treat, my party will be starting early. In fact, it will be starting right now"
Michael,OK. Did everybody get one of these?
Pam,Our party is also starting now
Pam,Yup.
Karen,Yup.
Michael,Terrific. Good.
Karen,All right Stanley. Woo.
Michael,"This is going to be the best Christmas ever. My girlfriend Carol is coming to our party tonight, and I have a little surprise for her. I've got two tickets to paradise! Pack your bags, we're leaving the day-after-tomorrow! Um, taking her to Sandals, Jamaica, all-inclusive. All-inclusive. You know what that means? Right? Yeah."
Pam,Good choice.
Jim,"Oh, I think you're supposed to put a toy in the box, Creed."
Angela,Welcome Hannah. You will not be disappointed.
Creed,And a happy holiday to you.
Hannah,Why would I be disappointed?
Jim,Carol.
Angela,I said you wouldn't be disappointed.
Carol,"Hi, is Michael around here?"
Angela,"Meredith, if you don't come to my party, you will be very, very sorry."
Michael,There she is. A Christmas Carol. Hello You're about five hours early to the party. You're such a blonde.
Meredith,Is that a threat?
Carol,Michael.
Angela,"No, it's an invitation."
Michael,"Hey, everybody. I don't know who you haven't met yet, but I think this is one of them. This is my girlfriend - Carol. This is just the front of her. Show 'em, show 'em the other side."
Pam,We have vodka!
Carol,What?
Karen,Lots of it!
Michael,"Turn around, turn around. Come on."
Kevin,I hear Angela's party will have double-fudge brownies. It will also have Angela. Double fudge... Angela... double fudge... Angela Hmmm...
Carol,Get outta here.
Angela,Brownies. Cupcakes.
Michael,"No, you get outta here."
Kevin,Don't push it.
Andy,Michael
Karen,"Are we taking this too far? You know what, I don't think we're taking this far enough. What?"
Michael,Yes.
Pam,I got goose bumps.
Andy,If I may say. She's even prettier that you described her.
Angela,"I don't back down. My sister and I used to be best friends, and we haven't talked in 16 years. Over some disagreement, I don't even remember. So... yeah. I'm pretty good."
Dwight,"Oh, ouch. Michael, I don't think there is anything wrong with the way you described her."
Michael,"Ahh, damn this chicken is good. My compliments to the chef. Which is you! Right? Hahahaha. Awesome! I need some meat. I want some steak. I see steak."
Michael,Thank you.
Man,Excuse me.
Carol,I really need a moment alone with you.
Michael,"Excuse me Ah, un guard. Family style."
Michael,Not as much as I need a moment alone with you. Berp.
Jim,"No, it's not."
Carol,What is this?
Andy,"Cindy, Cindy."
Michael,"That is my Christmas card. It's a picture of you and me and your kids on a ski trip, having a blast. Ski-sons Greetings."
Michael,I don't think... I love it!
Carol,"No. See, we never went on a ski trip."
Andy,"I want you to close your eyes and imagine your dream house. C'mon, do it for Michael. He's had a really long day."
Michael,I know.
Michael,I don't know what he's doing.
Carol,I went on a ski trip.
Andy,This is great.
Michael,Right.
Dwight,Jim! Jim! What... What's happening?
Carol,Two years ago with my kids and my ex-husband.
Jim,"Oh, she's asleep."
Michael,"Yes, but what you didn't realize at the time was that I was with you in a sense. I was in your heart..."
Dwight,Oh... Narcolepsy.
Carol,Michael.
Jim,Probably.
Michael,And next to your kids. What?
Andy,Now open your eyes and describe it to me.
Carol,This is so weird.
Cindy,"I... don't know, it has four bed rooms and a loft..."
Michael,I don't understand?
Dwight,"Oh my gosh, now she's up."
Jim,"It's a bold move, to Photoshop yourself into a picture with your girlfriend and her kids on a ski trip with their real father. But then again, Michael's a bold guy. Is bold the right word?"
Jim,"And she's trying to correctly butcher a goose, but she's having trouble coming up with it."
Carol,I think you're a really sweet guy.
Dwight,"Oh, OK. Cindy! Yo, Cindy! Cindy! Hold its neck back and insert the knife below the jaw. Bring it all the way around, there's going to be a good amount of blood. Don't let it bother you. Have a bucket there, for the blood... and the innards... and the feathers."
Michael,OK
Jim,"Oh no, this is different. The CIA thing, that was a prank on Dwight. This is more like a umm... OK, it's pretty much the same thing."
Carol,"But, um, I don't know how to deal with, with this thing. And, and the proposal. And I don't think things are going to work out with us."
Kelly,What d'ya think?
Michael,"No, no no no Ok, OK, You know what, you're not thinking straight. You know what you need? You need to think this through in Jamaica's largest fresh water pool."
Stanley,Fruity and delicious.
